ID:START	AR	BW	CL	JG	JL	LB	MAD	MM	NB	SB	SN
5-22	DRUG[9]	DRUG	DRUG	DRUG[5]|DRUG[6]	DRUG:HYP	DRUG:HYPER	DRUG	DRUG	DRUG	DRUG	DRUG
5-23	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-24	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-25	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-26	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-27	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-28	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-29	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-30	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-31	DRUG[9]	_	_	DRUG[5]	_	_	_	_	_	_	_
5-32	_	_	_	_	_	_	_	_	_	_	_
6-1	_	_	_	_	_	_	_	_	_	_	_
6-2	_	_	_	_	_	_	_	_	_	_	_
6-3	_	_	_	_	_	_	_	_	_	_	_
6-4	_	_	_	_	_	_	_	_	_	_	_
6-5	_	_	_	_	_	_	_	_	_	_	_
6-6	DRUG	_	DRUG	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
6-7	_	_	_	_	INTERACTION[8]	_	_	_	_	_	_
6-8	_	_	INTERACTION[8]	INTERACTION[7]	INTERACTION[8]	_	_	_	_	_	_
6-9	INTERACTION	_	INTERACTION[8]	INTERACTION[7]	INTERACTION[8]	INTERACTION	_	INTERACTION	_	_	_
6-10	_	_	_	_	_	_	_	_	_	_	_
6-11	_	_	_	_	_	_	_	_	_	_	_
6-12	_	_	_	_	_	_	_	_	_	_	_
6-13	_	_	_	_	_	_	_	_	_	_	_
6-14	BEVERAGE[10]	_	BEVERAGE[9]	BEVERAGE[8]	BEVERAGE[9]	BEVERAGE[9]	BEVERAGE[4]	BEVERAGE[7]	BEVERAGE[6]	_	BEVERAGE[6]
6-15	BEVERAGE[10]	_	BEVERAGE[9]	BEVERAGE[8]	BEVERAGE[9]	BEVERAGE[9]	BEVERAGE[4]	BEVERAGE[7]	BEVERAGE[6]	_	BEVERAGE[6]
6-16	BEVERAGE[10]|FOOD[11]	_	BEVERAGE[9]|FOOD[10]	BEVERAGE[8]|FOOD[9]	BEVERAGE[9]|FOOD:HYP[10]	BEVERAGE[9]|FOOD[10]	BEVERAGE[4]|FOOD[5]	BEVERAGE[7]|FOOD[8]	BEVERAGE[6]|FOOD[7]	_	BEVERAGE[6]|FOOD[7]
6-17	_	_	_	_	_	_	_	_	_	_	_
7-1	_	_	_	_	_	_	_	_	_	_	_
7-2	_	_	_	_	_	_	_	_	_	_	_
7-3	_	_	_	_	_	_	_	_	_	_	_
7-4	_	_	_	_	_	_	_	_	_	_	_
7-5	_	_	_	_	_	_	_	_	_	_	_
7-6	_	_	_	_	_	_	_	_	_	_	_
7-7	_	_	_	_	_	_	_	_	_	_	_
7-8	_	_	_	_	_	_	_	_	_	_	_
7-9	_	_	_	_	_	_	_	_	_	_	_
7-10	INTERACTION	_	_	INTERACTION	_	INTERACTION	_	INTERACTION	_	_	_
7-11	_	_	_	_	_	_	_	_	_	_	_
7-12	_	_	_	_	_	_	_	_	_	_	_
7-13	DRUG	_	DRUG	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
7-14	_	_	_	_	_	_	_	_	_	_	_
7-15	_	_	_	_	_	_	_	_	_	_	_
7-16	BEVERAGE	_	BEVERAGE	BEVERAGE-HYP	BEVERAGE:HYP	BEVERAGE:HYPER	_	BEVERAGE	_	_	_
7-17	_	_	_	_	_	_	_	_	_	_	_
7-18	_	_	_	_	_	_	_	_	_	_	_
7-19	_	_	_	_	_	_	_	_	_	_	_
7-20	_	_	_	_	_	_	_	_	BEVERAGE[8]	_	_
7-21	BEVERAGE[12]	_	BEVERAGE[11]	BEVERAGE[10]	BEVERAGE[11]	BEVERAGE[11]	_	BEVERAGE[9]	BEVERAGE[8]	_	_
7-22	BEVERAGE[12]	_	BEVERAGE[11]	BEVERAGE[10]	BEVERAGE[11]	BEVERAGE[11]	_	BEVERAGE[9]	BEVERAGE[8]	_	_
7-23	BEVERAGE[12]|FOOD[13]	_	BEVERAGE[11]|FOOD[12]	BEVERAGE[10]	BEVERAGE[11]|FOOD[12]	BEVERAGE[11]|FOOD[12]	_	BEVERAGE[9]|FOOD[10]	BEVERAGE[8]|FOOD[9]	_	_
7-24	_	_	_	_	_	_	_	_	_	_	_
7-25	_	_	_	_	_	_	_	_	_	_	_
8-1	_	_	_	_	_	_	_	_	_	_	_
8-2	_	_	_	_	_	_	_	_	_	_	_
8-3	_	_	_	_	_	_	_	_	_	_	_
8-4	_	_	_	_	_	_	_	_	_	_	_
8-5	_	_	_	_	_	_	_	_	_	_	_
8-6	_	_	_	_	_	_	_	_	_	_	_
8-7	_	_	_	_	_	_	_	_	_	_	_
8-8	_	_	_	_	_	_	_	_	_	_	_
8-9	_	_	_	_	_	_	_	_	_	_	_
8-10	_	_	_	_	_	_	_	_	_	_	_
8-11	_	_	_	_	_	_	_	_	_	_	_
8-12	_	_	_	_	_	_	_	_	_	_	_
8-13	INTERACTION	_	_	INTERACTION	_	INTERACTION	_	_	_	_	_
8-14	_	_	_	_	_	_	_	_	_	_	_
9-1	BEVERAGE[14]	_	BEVERAGE[13]	BEVERAGE[11]	BEVERAGE[13]	BEVERAGE[13]	_	BEVERAGE[11]	BEVERAGE[10]	_	_
9-2	BEVERAGE[14]	_	BEVERAGE[13]	BEVERAGE[11]	BEVERAGE[13]	BEVERAGE[13]	_	BEVERAGE[11]	BEVERAGE[10]	_	_
9-3	BEVERAGE[14]|FOOD[15]	_	BEVERAGE[13]|FOOD[14]	BEVERAGE[11]	BEVERAGE[13]	BEVERAGE[13]|FOOD[14]	_	BEVERAGE[11]|FOOD[12]	BEVERAGE[10]|FOOD[11]	_	_
9-4	_	_	_	_	_	_	_	_	_	_	_
9-5	_	_	_	_	_	_	_	_	_	_	_
9-6	_	_	_	_	_	_	_	_	_	_	_
9-7	_	_	_	INTERACTION[12]	INTERACTION[14]	_	_	INTERACTION[13]	_	_	_
9-8	_	_	_	INTERACTION[12]	INTERACTION[14]	_	_	INTERACTION[13]	_	_	_
9-9	INTERACTION	_	INTERACTION	INTERACTION[12]	INTERACTION[14]	INTERACTION	_	INTERACTION[13]	_	_	_
9-10	_	_	_	_	_	_	_	_	_	_	_
9-11	_	_	_	_	_	_	_	_	_	_	_
9-12	DRUG	_	DRUG	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
9-13	_	_	_	_	_	_	_	_	_	_	_
10-1	_	_	_	_	_	_	_	_	_	_	_
10-2	_	_	_	_	_	_	_	_	_	_	_
10-3	_	_	_	_	_	_	_	_	_	_	_
10-4	_	_	_	_	_	_	_	_	_	_	_
10-5	_	_	_	_	_	_	_	_	BEVERAGE[12]	_	_
10-6	BEVERAGE[16]	_	BEVERAGE[15]	BEVERAGE[13]	BEVERAGE[15]	BEVERAGE[15]	_	BEVERAGE[14]	BEVERAGE[12]	_	_
10-7	BEVERAGE[16]	_	BEVERAGE[15]	BEVERAGE[13]	BEVERAGE[15]	BEVERAGE[15]	_	BEVERAGE[14]	BEVERAGE[12]	_	_
10-8	BEVERAGE[16]|FOOD[17]	_	BEVERAGE[15]|FOOD[16]	BEVERAGE[13]|FOOD[14]	BEVERAGE[15]	BEVERAGE[15]|FOOD[16]	_	BEVERAGE[14]|FOOD[15]	BEVERAGE[12]|FOOD[13]	_	_
10-9	_	_	_	_	_	_	_	_	_	_	_
10-10	_	_	_	_	_	_	_	_	_	_	_
10-11	_	_	_	_	_	_	_	_	_	_	_
10-12	INTERACTION	_	INTERACTION	INTERACTION	INTERACTIION	INTERACTION	_	INTERACTION	_	_	_
10-13	_	_	_	_	_	_	_	_	_	_	_
10-14	_	_	_	_	_	_	_	_	_	_	_
10-15	_	_	_	_	_	_	_	_	_	_	_
10-16	DRUG	_	DRUG	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
10-17	_	_	_	_	_	_	_	_	_	_	_
11-1	_	_	_	_	_	_	_	_	_	_	_
11-2	_	_	_	_	_	_	_	_	_	_	_
11-3	_	_	_	_	_	_	_	_	_	_	_
11-4	_	_	_	_	_	_	_	_	_	_	_
11-5	_	_	_	_	_	_	_	_	_	_	_
11-6	_	_	_	_	_	_	_	_	_	_	_
11-7	_	_	_	_	_	_	_	_	_	_	_
11-8	_	_	_	_	_	_	_	_	_	_	_
11-9	_	_	_	_	_	_	_	_	_	_	_
11-10	_	_	_	_	_	_	_	_	_	_	_
11-11	DRUG	_	_	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
11-12	_	_	_	_	_	_	_	_	_	_	_
11-13	_	_	_	_	_	_	_	_	_	_	_
11-14	_	_	_	_	INTERACTION[16]	_	_	_	_	_	_
11-15	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	INTERACTION	_	_	_	_	_
11-16	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-17	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-18	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-19	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-20	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-21	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-22	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-23	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-24	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	_	_	_	_	_	_
11-25	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	INTERACTION[17]	_	_	_	_	_
11-26	INTERACTION[18]	_	_	INTERACTION[15]	INTERACTION[16]	INTERACTION[17]	_	_	_	_	_
11-27	_	_	_	_	_	_	_	_	_	_	_
11-28	_	_	_	_	_	_	_	_	_	_	_
11-29	_	_	_	_	_	_	_	_	_	_	_
11-30	_	_	_	_	_	_	_	_	_	_	_
11-31	_	_	_	_	_	_	_	_	_	_	_
11-32	_	_	_	_	_	_	_	_	_	_	_
11-33	_	_	_	_	_	_	_	_	_	_	_
11-34	_	_	_	_	_	_	_	_	_	_	_
11-35	_	_	_	_	_	_	_	_	_	_	_
11-36	_	_	_	_	_	_	_	_	_	_	_
11-37	_	_	_	_	_	_	_	_	_	_	_
11-38	_	_	_	_	_	_	_	_	_	_	_
11-39	_	_	_	DRUG	_	DRUG:HYPER	_	DRUG	_	_	_
11-40	_	_	_	_	_	_	_	_	_	_	_
11-41	_	_	_	_	_	_	_	_	_	_	_
11-42	_	_	_	_	_	_	_	_	_	_	_
11-43	_	_	_	_	_	_	_	_	_	_	_
12-1	_	_	_	_	DRUG:TAKING[17]	_	_	_	_	_	_
12-2	_	_	_	_	DRUG:TAKING[17]	_	_	_	_	_	_
12-3	_	_	_	_	DRUG:TAKING[17]	_	_	_	_	_	_
12-4	_	_	_	_	DRUG:TAKING[17]	_	_	_	_	_	_
12-5	DRUG	_	_	DRUG	DRUG:TAKING[17]|DRUG:HYP[18]	DRUG:HYPER	_	DRUG	_	_	_
12-6	_	_	_	_	INTERACTION[19]	_	_	_	_	_	_
12-7	_	_	_	INTERACTION[16]	INTERACTION[19]	_	_	_	_	_	_
12-8	INTERACTION	_	_	INTERACTION[16]	INTERACTION[19]	INTERACTION	_	INTERACTION	_	_	_
12-9	_	_	_	_	_	_	_	_	_	_	_
12-10	_	_	_	_	_	_	_	_	_	_	_
12-11	_	_	_	_	_	_	_	_	_	_	_
12-12	_	_	_	_	_	_	_	_	_	_	_
12-13	_	_	_	_	_	_	_	_	_	_	_
12-14	_	_	_	_	_	_	_	_	_	_	_
12-15	FOOD	_	_	FOOD	FOOD	FOOD	_	FOOD	_	_	_
12-16	_	_	_	_	_	_	_	_	_	_	_
13-1	_	_	_	_	_	_	_	_	_	_	_
13-2	_	_	_	_	_	_	_	_	_	_	_
13-3	INTERACTION[19]	_	_	_	_	_	_	_	_	_	_
13-4	INTERACTION[19]	_	_	INTERACTION[17]	_	_	_	_	_	_	_
13-5	INTERACTION[19]	_	_	INTERACTION[17]	_	_	_	_	_	_	_
13-6	INTERACTION[19]	_	_	INTERACTION[17]	_	_	_	_	_	_	_
13-7	INTERACTION[19]	_	_	INTERACTION[17]	_	_	_	_	_	_	_
13-8	_	_	_	_	_	_	_	_	_	_	_
14-1	_	_	_	_	_	_	_	_	_	_	_
14-2	_	_	_	_	_	_	_	_	_	_	_
14-3	_	_	_	_	_	_	_	_	_	_	_
14-4	_	_	_	_	_	_	_	_	_	_	_
14-5	_	_	_	INTERACTION[18]	INTERACTION[20]	_	_	_	_	_	_
14-6	_	_	_	INTERACTION[18]	INTERACTION[20]	_	_	_	_	_	_
14-7	_	_	_	INTERACTION[18]	INTERACTION[20]	INTERACTION[18]	_	_	_	_	_
14-8	_	_	_	INTERACTION[18]	INTERACTION[20]	INTERACTION[18]	_	_	_	_	_
14-9	_	_	_	_	_	_	_	_	_	_	_
14-10	_	_	_	_	_	_	_	_	_	_	_
14-11	DRUG	_	_	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
14-12	_	_	_	_	_	_	_	_	_	_	_
14-13	_	_	_	_	_	_	_	_	_	_	_
14-14	_	_	_	_	_	_	_	_	_	_	_
14-15	_	_	_	_	_	_	_	_	_	_	_
14-16	INTERACTION	_	_	_	_	INTERACTION	_	_	_	_	_
14-17	_	_	_	_	_	_	_	_	_	_	_
15-1	_	_	_	_	_	_	_	_	_	_	_
15-2	DRUG	_	_	DRUG	DRUG:HYP	DRUG:HYPER	_	DRUG	_	_	_
15-3	_	_	_	_	_	_	_	_	_	_	_
15-4	_	_	_	_	_	_	_	_	_	_	_
15-5	_	_	_	_	_	_	_	_	_	_	_
15-6	_	_	_	_	_	_	_	_	_	_	_
15-7	_	_	_	_	_	_	_	_	_	_	_
15-8	_	_	_	_	_	_	_	_	_	_	_
15-9	_	_	_	_	_	_	_	_	_	_	_
15-10	_	_	_	_	_	_	_	_	_	_	_
15-11	_	_	_	_	_	_	_	_	_	_	_
15-12	_	_	_	_	_	_	_	_	_	_	_
15-13	_	_	_	_	_	_	_	_	_	_	_
15-14	_	_	_	_	_	_	_	_	_	_	_
15-15	_	_	_	_	_	_	_	_	_	_	_
15-16	_	_	_	_	_	_	_	_	_	_	_
15-17	_	_	_	_	_	_	_	_	_	_	_
